56689;Bank of China;Bank of China;Bank of China Limited;BANK OF CHINA;Bank Of China;Bank of China Ltd
47376;Comcast;Comcast;COMCAST;Comcast Corporation;Comcast Corp
47762;FedEx;FedEx;Fedex;FEDEX;FedEx Corporation;FedEx Corp
56340;HSBC Holdings;HSBC Holdings;HSBC Holdings plc.;HSBC;HSBC Holdings Plc;HSBC Holdings PLC;HSBC Holdings PLC
47758;SEB;SEB
56787;AIA Group;AIA Group Limited;AIA Group;AIA GROUP;Aia Group
56799;PTT PCL;PTT PCL
51188;Travelers Cos;Travelers Cos;Travelers Cos Inc
47630;AstraZeneca;AstraZeneca PLC;AstraZeneca
56489;China Unicom;CHINA UNICOM;China Unicom;China Unicom Limited
47648;DNB;DNB;DNB ASA
866784;ACE;ACE;ACE Limited;ACE Ltd
56808;Nomura Holdings;Nomura Holdings;Nomura Holdings, Inc.;NOMURA;Nomura
47658;Nippon Steel & Sumitomo Metal;Nippon Steel & Sumitomo Metal
61108;Wesfarmers Limited;Wesfarmers;Wesfarmers Limited;Wesfarmers Ltd;WESFARMERS
47662;China Everbright Bank;China Everbright Bank Co Ltd;China Everbright Bank
61156;Japan Tobacco;Japan Tobacco Inc.;Japan Tobacco;JAPAN TOBACCO;Japan Tobacco Inc;Japan Tobacco Inc.
56812;BG Group;BG Group;BG Group plc;BG Group PLC;BG GROUP;BG
47666;Itochu;Itochu;Itochu Corporation;ITOCHU Corporation;ITOCHU
17024;Carrefour S.A.;Carrefour;Groupe Carrefour;CARREFOUR;Groupe Carrefour
965698;AEGON;Aegon;Aegon N.V.;AEGON N.V.;AEGON N.V.
47713;Posco;POSCO Energy;Posco;POSCO
47732;People's Insurance Company;People's Insurance Company of China;People's Insurance Company
135104;Renault;RENAULT;Renault;Renault SAS;Renault SA;RENAULT
56836;Sumitomo Corp;Sumitomo Corp
56840;VTB Bank;VTB;VTB Bank
56844;CNP Assurances;CNP Assurances
843707;Hyundai Mobis;Hyundai Mobis;HYUNDAI MOBIS
56852;Apache;Apache Corporation;Apache;APACHE;Apache Corp
47775;Sun Life Financial;Sun Life Financial;Sun Life Financial Inc;Sun Life Financial Inc.;SUN LIFE
56860;JX Holdings;JX Holdings;JX Holdings, Inc.;JX HOLDINGS;JX
47807;Standard Bank Group;Standard Bank;Standard Bank Group
47818;Centrica;Centrica plc;Centrica;Centrica PLC;CENTRICA;Centrica plc
56872;Air Liquide;Air Liquide;AIR LIQUIDE;Air Liquide SA;AIR LIQUIDE
47821;Teva Pharmaceutical Inds;Teva Pharmaceutical Inds
56876;Old Mutual;Old Mutual;Old Mutual plc;Old Mutual PLC;OLD MUTUAL
5301;Inditex;Inditex;INDITEX;Inditex SA;Inditex S.A.
56884;Husky Energy;Husky Energy;Husky Energy Inc;HUSKY;Husky;HUSKY Energy
16297;Wilmar International;Wilmar International;Wilmar International Ltd;Wilmar International Limited;Wilmar;WILMAR INTERNATIONAL
47873;Sasol;Sasol;Sasol Ltd.;SASOL
56142;SingTel;SingTel;Singtel;SINGTEL
47876;CaixaBank;CaixaBank;CaixaBank, S.A.;CaixaBank, S.A.
56344;Holcim;Holcim;Holcim Ltd;HOLCIM
47879;Telenor;Telenor;Telenor ASA;TELENOR;Telenor ASA;Telenor
47890;SSE;SSE;SSE plc;SSE PLC
56908;Standard Life;Standard Life;Standard Life plc;STANDARD LIFE
61208;Enbridge;Enbridge;Enbridge Inc.;Enbridge Inc;ENBRIDGE
56912;WPP;WPP;WPP plc;WPP PLC
56924;Fannie Mae;Fannie Mae
47939;Michelin Group;Michelin Group;Michelin
47959;KB Financial Group;KB FINANCIAL GROUP;KB Financial Group
56413;Richemont;Richemont;RICHEMONT;Richemont S.A.
56469;Femsa;Femsa;FEMSA;Coca-Cola FEMSA;Coca-Cola Femsa
47963;Mapfre;Mapfre
56948;Freddie Mac;Freddie Mac
56952;MTN Group;MTN Group;MTN Group Limited;MTN;MTN GROUP;Mtn Group
47969;Lafarge;Lafarge (company);Lafarge;LAFARGE SA;LAFARGE
56956;Grupo ACS;Grupo ACS;ACS
47972;Thermo Fisher Scientific;Thermo Fisher Scientific;Life Technologies (Thermo Fisher Scientific);Thermo Fisher Scientific Inc.;Thermo Fisher Scientific, Inc.;THERMO FISHER SCIENTIFIC;Thermo Fisher Scientific Inc;Thermo Fisher Scientific
47979;Orix;Orix;ORIX Corporation;ORIX
56964;Saudi Telecom;Saudi Telecom;Saudi Telecom Company;Saudi Telecom Co
47995;CSX;CSX;CSX Corporation;CSX Corp
56968;Lincoln National;Lincoln National;Lincoln National Corporation;Lincoln National Corp
48003;Cathay Financial;Cathay Financial;Cathay Financial Holdings
48007;Huaneng Power International;Huaneng Power International
56985;GDF SUEZ;GDF SUEZ;GDF Suez;GDF Suez SA
48019;Sampo;Sampo Group;Sampo;SAMPO
56989;Fubon Financial;Fubon Financial;Fubon Financial Holding Co.
48030;Inpex;Inpex;Inpex Corporation;INPEX
56997;Garanti Bank;Garanti Bank
61172;Indian Oil;Indian Oil;Indian Oil Corporation;Indian Oil Corporation Limited
48046;NTPC;NTPC;NTPC Limited;NTPC Ltd
61136;Coal India;Coal India;Coal India Limited;Coal India Ltd
57009;Bank of Beijing;Bank of Beijing
57017;Macquarie Group;Macquarie Group;MACQUARIE GROUP
57021;Suzuki Motor;Suzuki;Suzuki Motor;SUZUKI MOTOR
48065;Edison International;Edison International;EDISON INTERNATIONAL
57033;JFE Holdings;JFE Holdings;JFE HOLDINGS
57037;Tenaga Nasional;Tenaga Nasional;TNB (Tenaga Nasional)
57041;Resona Holdings;Resona Holdings;Resona Holdings, Inc.;RESONA HOLDINGS
42714;Hugo Boss AG;HUGO BOSS;Hugo Boss AG;Hugo Boss
865650;Altera Corporation;Altera Corporation;Altera;ALTERA
966916;Groupe Edmond de Rothschild;Groupe Edmond de Rothschild;Edmond de Rothschild Group;Edmond de Rothschild Group
49483;Goldcorp;Goldcorp New;Goldcorp, Inc.;GOLDCORP;Goldcorp;Goldcorp, Inc.
127377;Lowe's Companies, Inc.;Lowe's Companies, Inc.;Lowe's Companies Inc;Lowe's;Lowe's Companies;Lowe’s Companies, Inc.
47939;Michelin Group;MICHELIN;Michelin Group;Michelin
56222;Time Warner Inc.;Time Warner;Time Warner Inc.;Time Warner Inc;TIME WARNER;Time Warner;Time Warner Inc.
56723;CVS Caremark;CVS Caremark;CVS CAREMARK
48037;Humana;Humana;HUMANA;Humana Inc.;Humana Inc
58111;Ingram Micro;Ingram Micro;Ingram Micro Inc.
47853;Johnson Controls;Johnson Controls, Inc.;Johnson Controls Inc.;Johnson Controls;JOHNSON CONTROLS;Johnson Controls Inc;Johnson Controls
967727;MetLife;Metlife;MetLife;METLIFE;MetLife, Inc.;MetLife Inc
58291;Rite Aid;Rite Aid Corporation;Rite Aid;Rite Aid Corp
47618;Walgreen;WALGREEN;Walgreen
47634;WellPoint;Wellpoint;WellPoint;WELLPOINT
56685;Wells Fargo;Wells Fargo;WELLS FARGO & CO;Wells Fargo & Co;Wells Fargo & Company;Wells Fargo and Company
47804;Cigna;CIGNA Corp;Cigna;CIGNA;Cigna Corporation;Cigna Corp
56767;Phillips 66;Phillips 66 Co.;Phillips 66
49427;PartnerRe;PartnerRe;PartnerRe Ltd.
48591;CR Bard;C.R. Bard, Inc.;CR Bard;C. R. Bard;C.R. Bard;CR Bard Inc
56246;Eaton;Eaton Corp.;Eaton;Eaton Corp
47751;AbbVie;AbbVie Inc.;AbbVie;Abbvie;AbbVie Inc;AbbVie
49730;Eisai;Eisai Co. Ltd.;EISAI;Eisai;Eisai (company);Eisai Co Ltd
47603;Amgen;Amgen;Amgen, Inc.;Amgen Inc;AMGEN;Amgen Inc.;Amgen Inc
48409;Regions Financial;Regions Financial;Regions Financial Corporation;Regions Financial Corp
56368;Allianz;Allianz SE;   Allianz SE;ALLIANZ;Allianz
58275;Smith & Nephew;SMITH & NEPHEW;  Smith & Nephew plc;Smith & Nephew plc;Smith & Nephew
868865;DreamWorks Animation SKG, Inc.;DreamWorks Animation SKG;DreamWorks Animation SKG, Inc.;DreamWorks Animation;DreamWorks Animation SKG Inc
47670;Bank of New York Mellon;Bank of New York Mellon;The Bank of New York Mellon;Bank of New York Mellon Corporation;Bank Of New York Mellon;BANK OF NEW YORK MELLON;The Bank of New York Mellon Corporation;Bank of New York Mellon Corp;The Bank of New York Mellon
50152;Quanta Services;Quanta Services Inc;Quanta Services;Quanta Services, Inc.
48588;VimpelCom;VimpelCom;VimpelCom Ltd
57045;Daiwa Securities;Daiwa Securities;Daiwa Securities Group;Daiwa Securities Group Inc.
776650;PACCAR Inc.;PACCAR Inc;PACCAR;Paccar, Inc.;Paccar
48089;Aon;Aon;Aon plc;Aon PLC
58609;Bank of Kyoto;Bank of Kyoto
59898;Herbal Products & Development;Herbal Products & Development;Herbal Products & Development
58722;Nanto Bank;Nanto Bank
58706;Halyk Bank;Halyk Bank
48092;Hana Financial Group;Hana Financial Group
48096;Etisalat;Etisalat
48099;Loews;Loews;Loews Corporation;LOEWS;Loews Corp
48102;CIMB Group Holdings;CIMB;CIMB Group Holdings;CIMB GROUP HOLDINGS;Cimb Group Holdings
48106;Tokyo Electric Power;Tokyo Electric Power;Tokyo Electric Power Company;TOKYO ELECTRIC POWER
54525;Organoderm Skin Care;Organoderm Skin Care;Organoderm Skin Care
60862;Vital Earth Traditions;Vital Earth Traditions;Vital Earth Traditions
59998;Jesse's Girl Cosmetics;Jesse's Girl Cosmetics;Jesse's Girl Cosmetics
53781;Lip'Shining Marketing;Lip'Shining Marketing;Lip'Shining Marketing
60466;Pure Anada Natural Cosmetics;Pure Anada Natural Cosmetics;Pure Anada Natural Cosmetics
53562;Katavi Botanticals;Katavi Botanticals;Katavi Botanticals
60702;Sweet Pea Products;Sweet Pea Products;Sweet Pea Products
52685;Duchess Cosmetics;Duchess Cosmetics;Duchess Cosmetics
57074;T&D Holdings;T&D Holdings;T&D Holdings, Inc.;T&D Holdings Inc
54139;Muk Haircare;Muk Haircare;Muk Haircare
54443;Ojavan Products;Ojavan Products;Ojavan Products
52966;Fevour Cosmetics;Fevour Cosmetics;Fevour Cosmetics
53680;LA Minerals;LA Minerals;LA Minerals
52023;Billy Jealousy;Billy Jealousy;Billy Jealousy
55700;Twist Body Brands;Twist Body Brands;Twist Body Brands
51895;Bath Petals, Inc.;Bath Petals, Inc.;Bath Petals, Inc.
53935;Malibu Wellness;Malibu Wellness;Malibu Wellness
52942;Farm Dog Naturals;Farm Dog Naturals;Farm Dog Naturals
55056;Sasy n Savy;Sasy n Savy;Sasy n Savy
54645;Pet Chef Express;Pet Chef Express;Pet Chef Express
52911;Evie Evan, Inc.;Evie Evan, Inc.;Evie Evan, Inc.
53340;Holistic Blend;Holistic Blend;Holistic Blend
54016;mem CosmΠ“Β©ticos;mem Cosméticos;mem Cosméticos
55028;Samantharoma;Samantharoma;Samantharoma
55575;Terra Dolce;Terra Dolce;Terra Dolce
53333;Heymountain Cosmetics;Heymountain Cosmetics
52946;Favor Care Organics;Favor Care Organics
51751;Au Naturale Glow;Au Naturale Glow;Au Naturale Glow
53211;Grupo DARR;Grupo DARR;Grupo DARR
52091;Blue Beautifly;Blue Beautifly;Blue Beautifly
54493;Orang Skincare;Orang Skincare
53044;Fromm Family Foods;Fromm Family Foods;Fromm Family Foods
53962;Mark & Chappell;Mark & Chappell
54613;Paul Labrecque;Paul Labrecque;Paul Labrecque
51851;Bara Cosmetics;Bara Cosmetics;Bara Cosmetics
54242;Naturally Green;Naturally Green
53079;Garden Girl;Garden Girl;Garden Girl
55806;Vitamin Shampoo;Vitamin Shampoo
51417;Advanced Beauty Tools;Advanced Beauty Tools
52574;Desert Moon Bath & Body;Desert Moon Bath & Body
60210;Michael Todd USA;Michael Todd;Michael Todd
52358;Classic Beauty;Classic Beauty;Classic Beauty
54789;Pristine Beauty;Pristine Beauty;Pristine Beauty
51735;Artemis Pet Food;Artemis Pet Food;Artemis Pet Food
53348;Honeybee Gardens;Honeybee Gardens;Honeybee Gardens
54587;Palmetto Derma;Palmetto Derma;Palmetto Derma
52459;Cottonwood Herbals;Cottonwood Herbals
55784;Videlina Natura;Videlina Natura;Videlina Natura
53036;Fresh Ink;Fresh Ink
51923;Be Natural Cosmetics;Be Natural Cosmetics
54828;Pure by She She;Pure by She She;Pure by She She
54986;Roxz Cosmetix;Roxz Cosmetix;Roxz Cosmetix
53128;GlowGenics;GlowGenics;GlowGenics
59362;Beauty 21 Cosmetics;Beauty 21 Cosmetics;Beauty 21 Cosmetics
54379;Nutri-Vet;Nutri-Vet;Nutri-Vet
51915;BE Beverly Hills;BE Beverly Hills
53717;LaRocca Skincare;LaRocca Skincare;LaRocca Skincare
60054;King of Shaves;King of Shaves;King of Shaves
52243;C.O. Bigelow;C.O. Bigelow
54337;No-Ad Suncare;No-Ad Suncare;No-Ad Suncare
59662;Dynamite Marketing, Inc.;Dynamite Marketing, Inc.
54817;Pura Botanica;Pura Botanica;Pura Botanica
54629;Peach & Lemon;Peach & Lemon
19021;Associated British Foods plc;Associated British Foods;Associated British Foods plc;Associated British Foods PLC;ASSOCIATED BRITISH FOODS
56428;KBC Groep;KBC Groep;KBC Groep NV
61228;FirstRand;FirstRand;FirstRand Limited;Firstrand
57078;Bank Mandiri;Bank Mandiri;BANK MANDIRI
48132;Swiss Life Holding;Swiss Life Holding;Swiss Life
57082;CEZ Group;CEZ Group;Cez
48147;Akbank;Akbank;Akbank T.A.S.
48150;Covidien;Covidien
48159;National Bank of Canada;National Bank of Canada;NATIONAL BANK OF CANADA
48163;Formosa Petrochemical;Formosa Petrochemical;Formosa Petrochemical Corp.
57086;SK Innovation;SK Innovation Co., Ltd.;SK Innovation
56066;Ecolab;Ecolab Inc.;Ecolab;Ecolab, Inc.;Ecolab Inc;ECOLAB
48167;Gree Electric Appliances;Gree Electric Appliances;Gree Electric
57094;Piraeus Bank;Piraeus Bank
48171;Public Service Enterprise;Public Service Enterprise;Public Service Enterprise Grp.;Public Service Enterprise Group;Public Service Enterprise Group Incorporated;Public Service Enterprise Group, Inc.;Public Service Enterprise Group Inc
48317;Fortescue Metals Group;Fortescue Metals Group;FORTESCUE METALS GROUP;Fortescue Metals Gp
57110;Poly Real Estate;Poly Real Estate
48325;Baoshan Iron & Steel;Baoshan Iron & Steel
48329;Fortum;Fortum;Fortum Corporation;Fortum Oyj;FORTUM;Fortum Oyj
57114;Norilsk Nickel;Norilsk Nickel;MMC Norilsk Nickel;NORILSK NICKEL
57118;Toyota Tsusho;Toyota Tsusho;Toyota Tsusho Corporation
57127;Cenovus Energy;Cenovus Energy;Cenovus Energy Inc;Cenovus Energy Inc.;CENOVUS ENERGY;CENOVUS Energy
57139;Otsuka Holding;Otsuka Holding;OTSUKA HOLDINGS;Otsuka Holdings;Otsuka Holdings Co., Ltd.
57147;Grupo Mexico;Grupo Mexico
57155;Swire Pacific;Swire Pacific;SWIRE PACIFIC;Swire Pacific Ltd.
48353;China Resources Land;China Resources Land
57005;HDFC Bank;HDFC Bank Limited;HDFC Bank;HDFC BANK;Hdfc Bank;HDFC Bank Ltd
48357;Raiffeisen Bank International;Raiffeisen Bank International
57163;Suncorp Group;Suncorp Group;SUNCORP GROUP
56203;SCA;SCA
48368;Siam Commercial Bank;Siam Commercial Bank;SIAM COMMERCIAL BANK
48372;TELUS;TELUS;Telus;TELUS Corporation;Telus Corporation
57167;Aisin Seiki;Aisin Seiki
57179;Transocean;Transocean
57183;Mazda Motor;Mazda Motor;Mazda;MAZDA
48378;Anglo American;Anglo American plc;Anglo American;ANGLO AMERICAN
48385;Kasikornbank;Kasikornbank;KASIKORNBANK
48388;Commerzbank;Commerzbank AG;Commerzbank;COMMERZBANK;Commerzbank AG
48391;Ferrovial;Ferrovial;Ferrovial S.A.;FERROVIAL
57199;J Sainsbury;J Sainsbury;J Sainsbury PLC;J SAINSBURY
57203;Lotte Shopping;Lotte Shopping;Lotte Shopping Co., Ltd
57207;Sabanci Holding;Sabanci Holding;H.O. Sabanci Holding A.S
57211;Grupo Modelo;Grupo Modelo
57223;Hartford Financial Services;Hartford Financial Services Group Inc.;The Hartford Financial Services Group, Inc.;Hartford Financial Services Group;Hartford Financial Services;The Hartford Financial Services Group;Hartford Financial Services Grp.;Hartford Financial Services Group Inc
51401;Keppel Corp;Keppel Corp;Keppel Corporation
57227;Telecom Italia;Telecom Italia;TELECOM ITALIA;Telecom Italia SpA
48425;Woodside Petroleum;Woodside Petroleum;Woodside Petroleum Ltd;WOODSIDE PETROLEUM
48433;Falabella;Falabella Retail;Falabella
48436;Bankia;Bankia;Bankia S.A.
57247;Publicis Groupe;Publicis Groupe;Publicis;Publicis Groupe S.A.
48451;Entergy;Entergy Corporation;Entergy;ENTERGY;Entergy Corp
48458;China Resources Power;China Resources Power
967755;Samsung Fire & Marine Insurance;Samsung Fire & Marine;Samsung Fire & Marine Insurance
57264;George Weston;George Weston;George Weston Limited
48462;Evergrande Real Estate;Evergrande Real Estate
48466;Agrium;Agrium;Agrium Inc.;Agrium Inc;AGRIUM
57268;Anhui Conch Cement;Anhui Conch Cement
48469;Banco Popular Espanol;Banco Popular Espanol
57272;Swatch Group;Swatch Group;The Swatch Group;The Swatch Group AG
57276;National Bank of Greece;National Bank of Greece;Bank of Greece
48473;Delphi Automotive;Delphi Automotive;Delphi Automotive PLC
48481;Abertis;Abertis;Abertis Infraestructuras;abertis infraestructuras;abertis infraestructuras
57300;Formosa Chemicals;Formosa Chemicals
48484;Hyundai Heavy Industries;Hyundai Heavy Industries;HYUNDAI HEAVY INDUSTRIES
57304;Liberty Global;Liberty Global;Liberty Global plc;Liberty Global PLC
56226;Unibail-Rodamco;Unibail-Rodamco SE;Unibail-Rodamco;UNIBAIL-RODAMCO
57308;PKO Bank Polski;PKO Bank Polski;PKO BANK
57312;Bharti Airtel;Bharti Airtel;BHARTI AIRTEL
48492;Adecco;Adecco;Adecco Group;ADECCO
48504;Country Garden Holdings;Country Garden Holdings
48512;Mitsubishi Motors Corporation;Mitsubishi Motors
974356;JBS S.A.;JBS;JBS S.A.;JBS SA
57324;Couche Tard;Couche Tard;Alimentation Couche-Tard Inc
48519;National Bank of Abu Dhabi;National Bank of Abu Dhabi
57328;Daqin Railway;Daqin Railway;Daqin Railway Co., Ltd.
57340;Bancolombia;Bancolombia;Grupo Bancolombia
57348;Asahi Kasei;Asahi Kasei;Asahi Kasei Corporation;ASAHI KASEI
48527;Sandvik;Sandvik;Sandvik AB;SANDVIK
48530;China National Building;China National Building
57352;Liberty Media;Liberty Media;Liberty Media Corporation;Liberty Media Corp
57360;BAE Systems;BAE Systems;BAE SYSTEMS;Bae Systems;BAE Systems PLC;BAE Systems
57364;Priceline.com;Pricelinecom;Priceline.com;priceline.com
57368;Chunghwa Telecom;Chunghwa Telecom;CHUNGHWA TELECOM;Chunghwa Telecom Co. Ltd.;Chunghwa Telecom Co Ltd
48562;Insurance Australia Group;Insurance Australia Group;Insurance Australia Group Ltd
57376;Yara International;Yara International;Yara International ASA;YARA INTERNATIONAL;YARA
57380;XL Group;XL Group plc;XL Group;XL Group plc
57384;Isuzu Motors;Isuzu Motors
57388;Magnit;Magnit
48566;Steinhoff International;Steinhoff International
48573;Atlantia;Atlantia;Atlantia S.p.A.
48576;Industrial Bank of Korea;Industrial Bank of Korea
48580;First Gulf Bank;First Gulf Bank
61148;Ooredoo Telecom;Ooredoo Telecom;Ooredoo
48595;China Cinda Asset Management;China Cinda Asset Management
48603;Sanlam;Sanlam;Sanlam Ltd
48610;Scor;Scor;SCOR
911801;China Steel Corporation (CSC);China Steel;CHINA STEEL;China Steel Corp.
48613;Technip;Technip;TECHNIP
57421;GD Power Development;GD Power Development
48624;China Coal Energy;China Coal Energy
57425;Nan Ya Plastics;Nan Ya Plastics;NAN YA PLASTICS
48628;Midea Group Co. Ltd.;Midea (company);Midea Group Co. Ltd.;Midea
57429;New World Development;New World Development
57433;Sekisui House;Sekisui House
57437;Idemitsu Kosan;Idemitsu Kosan
57445;Bangkok Bank;Bangkok Bank;BANGKOK BANK
57449;Westfield Group;Westfield Group;Westfield;WESTFIELD GROUP
57453;KeyCorp;KeyCorp
48632;DaVita;DaVita
48635;Kansai Electric Power;Kansai Electric Power;Kansai Electric Power Company
57457;National Bank of Kuwait;National Bank of Kuwait;NATIONAL BANK OF KUWAIT;National Bank Of Kuwait
48639;Deutsche Boerse;Deutsche Boerse;Deutsche Boerse AG;DEUTSCHE BOERSE
57461;Samba Financial Group;Samba Financial Group
48654;Resolution;Resolution
48661;Infosys;Infosys;Infosys Ltd.;Infosys Ltd;Infosys Limited;INFOSYS
57465;Wheelock & Co;Wheelock & Co
48664;Dentsu;Dentsu;Dentsu Inc.;DENTSU
56514;Williams Cos;Williams Cos;Williams Cos.;Williams Cos Inc
48670;QBE Insurance Group;QBE Insurance Group;QBE INSURANCE GROUP
57473;Riyad Bank;Riyad Bank
48685;Bombardier;Bombardier;Bombardier Inc.;Bombardier Inc;BOMBARDIER
57489;Grupo Inbursa;Grupo Inbursa;Inbursa
48696;West Japan Railway;West Japan Railway;West Japan Railway Company;WEST JAPAN RAILWAY
57501;Citic Pacific;Citic Pacific
48711;Allied Irish Banks;Allied Irish Banks;Allied Irish Banks, p.l.c.;ALLIED IRISH BANKS
48715;Bunge Limited;Bunge;Bunge Limited;BUNGE;Bunge Ltd
48718;Metallurgical Corp of China;Metallurgical Corp of China;Metallurgical Corp. of China
57513;IDGC Holding;IDGC Holding
48722;Emirates NBD;Emirates NBD
48730;Telekom Indonesia;Telekom Indonesia
57525;EnBW-Energie Baden;EnBW-Energie Baden
48738;International Airlines;International Airlines;International Airlines Group;International Airlines Group
48742;Mercantil Servicios;Mercantil Servicios
48750;Cencosud;Cencosud
48753;Tyco International;Tyco International
48757;Chubu Electric Power;Chubu Electric Power;CHUBU ELECTRIC POWER
48770;Leucadia National;Leucadia National;Leucadia National Corporation
57533;LG Display;LG Display;LG Display Co. LTD;LG Display Co., Ltd.
48790;Saudi British Bank;Saudi British Bank;The Saudi British Bank
48794;Shimao Property Holdings;Shimao Property Holdings
57537;China CNR;China CNR;China CNR Corp.
56054;Capgemini;Capgemini;CAPGEMINI
57545;Krung Thai Bank;Krung Thai Bank
57549;Bank of Baroda;Bank of Baroda
57553;Sinohydro Group;Sinohydro Group
48821;Mahindra & Mahindra;Mahindra & Mahindra;Mahindra & Mahindra Ltd.;MAHINDRA & MAHINDRA
57557;San Miguel;San Miguel;San Miguel Corporation
48825;Valeo;Valeo;VALEO
57565;BΠ“Ρ�loise Group;Bâloise Group;Bâloise
57569;Longfor Properties;Longfor Properties;Longfor Properties Co. Ltd.
48832;KPN;KPN;KPN N.V.;KPN
56070;Fluor;Fluor;Fluor Corporation;FLUOR
57573;Bank of East Asia;Bank of East Asia
48846;Woori Finance Holdings;Woori Finance Holdings
57585;Bank Hapoalim;Bank Hapoalim
57589;SJM Holdings;SJM Holdings
48858;ALFA;ALFA;ALFA (Mexico);Alfa, S.A.
48866;ITC;ITC;ITC (company);ITC Limited;ITC Ltd
48870;Mega Financial Holding;Mega Financial Holding;MEGA FINANCIAL HOLDING
918941;LG International;LG Corp
48874;Invesco;Invesco;Invesco Ltd.;Invesco Ltd
57601;Great Wall Motor;Great Wall Motor;Great Wall Technology
57605;Lixil Group;Lixil Group;LIXIL Group Corporation;LIXIL
48884;Voestalpine;Voestalpine;voestalpine AG;VOESTALPINE
57613;Formosa Plastics;Formosa Plastics;Formosa Plastics Corp;FORMOSA PLASTICS
48894;Eiffage;Eiffage
8699;Wipro Ltd.;Wipro;Wipro Limited;Wipro Ltd.;Wipro Ltd;WIPRO
48901;Origin Energy;Origin Energy;Origin Energy Limited;ORIGIN ENERGY
48905;Rakuten;Rakuten, Inc;Rakuten;Rakuten, Inc
